"csd_ref","name","asa_grav [m²/g]","asa_vol [m²/cm³]","av_vf","pore_volume [cm³/g]","density [g/cm³]","nexc [wt. %]","uptake_grav [wt. %]","uptake_vol [g H2/L]","metal1","metal2","metal3","oms","lcd [Å]","pld [Å]","LFPD [Å]","symmetry_space_group","cell_length_a","cell_length_b","cell_length_c","cell_angle_alpha","cell_angle_beta","cell_angle_gamma","cell_volume [Å³]","cas1","norm_name1","name1","mol_mass1 [g/mol]","smile_cam1","smile_can1","linker1","vendor_name1","max_amount1 [g]","rel_price1 [€/g]","min_purity1","cas2","norm_name2","name2","mol_mass2 [g/mol]","smile_cam2","smile_can2","linker2","vendor_name2","max_amount2 [g]","rel_price2 [g/€]","min_purity2","cas3","norm_name3","name3","mol_mass3 [g/mol]","smile_cam3","smile_can3","linker3","vendor_name3","max_amount3 [g]","rel_price3 [€/g]","min_purity3"
"PITPEP","",1731.39,1649.81,0.62,0.65,0.95,3.49,4.47,44.62,"Al","","","Yes",11.42,9.94,11.42,"R-3",35.29,35.29,12.4,90.0,90.0,120.0,13367.88,"13598-36-2","Phosphonate","[""phosphonate"", ""hydrogen_phosphonate""]",80.99,"P(O)(O)=O","OP(=O)O","Yes","ABCR",1000.0,0.0791,0.98,"108-67-8","1,3,5-trimethylbenzene","[""2,4,6-trimethylbenzene-1,3,5-triyl""]",120.19,"CC1=[C]C(=[C]C(=[C]1)C)C","CC1=[C]C(=[C]C(=[C]1)C)C","No","","","","","14493-06-2","methylene","[""methylene""]",16.043,"[CH2]","[CH2]","No","","","",""
"UNABIV","",736.35,1129.32,0.48,0.31,1.53,2.19,2.58,40.64,"Cu","Mo","","Yes",5.08,3.82,4.86,"C2/c",27.54,13.76,17.35,90.0,99.34,90.0,6489.23,"553-26-4","4,4'-Bipyridine","[""4,4'-Bipyridine"", ""4,4'-bipyridyl"", ""4,4'-Bipyridinium"", ""4,4'-bipyridine"", ""4,4'-dipyridyl""]",156.18,"N1=CC=C(C=C1)C1=CC=NC=C1","n1ccc(cc1)c1ccncc1","Yes","Chemescene",1000.0,0.215,1.0,"74-90-8","Hydrogen Cyanide","[""Cyano"", ""dicyano""]",27.025,"[C]#N","[C]#N","Yes","Chemazone",0.01,189000.0,0.95,"14798-03-9","ammonium","[""Ammonium""]","","[NH4+]","[NH4+]","No","","","",""
"OYEJOS","",2054.35,1714.96,0.64,0.77,0.83,3.91,5.11,44.96,"Cu","","","Yes",9.56,4.64,9.56,"P21/n",18.49,15.6,23.3,90.0,91.82,90.0,6715.34,"13752-21-1","1,4-bis(imidazoleyl)benzene","[""1,4-bis(imidazolyl)benzene""]",210.23,"N1C(=NC=C1)C1=CC=C(C=C1)C=1NC=CN1","c1cnc([nH]1)c1ccc(cc1)c1ncc[nH]1","Yes","Chemazone",5.0,1546.28,0.95,"7664-38-2","phosphate","[""dihydrogen_phosphate"", ""phosphito"", ""Hydrogenphosphate"", ""phosphate""]",98.0,"P(=O)(O)(O)O","OP(=O)(O)O","Yes","ABCR",17000.0,0.01474706,0.85,"10040-96-7","1-(4-bromophenyl)imidazole","[""1-(4-bromophenyl)imidazole""]",223.07,"BrC1=CC=C(C=C1)N1C=NC=C1","Brc1ccc(cc1)n1cncc1","Yes","AmBeed",25.0,22.81752,0.98
"JOGSAA","",4728.27,1989.54,0.82,1.95,0.42,7.22,10.55,49.61,"Ni","","","Yes",12.98,9.45,12.87,"P21/m",15.07,24.77,15.17,90.0,110.54,90.0,5303.54,"553-26-4","4,4'-Bipyridine","[""4,4'-Bipyridine"", ""4,4'-bipyridyl"", ""4,4'-Bipyridinium"", ""4,4'-bipyridine"", ""4,4'-dipyridyl""]",156.18,"N1=CC=C(C=C1)C1=CC=NC=C1","n1ccc(cc1)c1ccncc1","Yes","Chemescene",1000.0,0.215,1.0,"7664-38-2","phosphate","[""dihydrogen_phosphate"", ""phosphito"", ""Hydrogenphosphate"", ""phosphate""]",98.0,"P(=O)(O)(O)O","OP(=O)(O)O","Yes","ABCR",17000.0,0.01474706,0.85,"144-62-7","Oxalate","[""Oxalate""]",90.03,"C(C(=O)O)(=O)O","C(C(=O)O)(=O)O","Yes","SigmaAldrich",250.0,0.1848,""
"IDORAW","",2623.65,1989.66,0.76,1.0,0.76,4.63,6.26,50.68,"Mn","Cu","","Yes",10.66,7.95,10.64,"P41212",20.47,20.47,34.34,90.0,90.0,90.0,14386.64,"","","","","","","","","","","","","","","","","","","","","","","144-62-7","Oxalate","[""Oxalate""]",90.03,"C(C(=O)O)(=O)O","C(C(=O)O)(=O)O","Yes","SigmaAldrich",250.0,0.1848,""
"NIXKIQ","RWLC-2",2028.8,1850.3,0.68,0.75,0.91,3.88,5.03,48.31,"Zn","","","Yes",10.73,9.85,10.73,"Pnma",17.23,23.59,23.73,90.0,90.0,90.0,9644.13,"366-18-7","2,2'-Bipyridyl","[""2,2'-bipyridine"", ""2,2'-Bipyridyl"", ""Bipyridyl""]",156.19,"N1=C(C=CC=C1)C1=NC=CC=C1","c1ccc(nc1)c1ccccn1","Yes","AmBeed",1000.0,0.0774,0.97,"50446-44-1","1,3,5-tris(4-Carboxyphenyl)benzene","[""1,3,5-tris(4-Carboxyphenyl)benzene"", ""1,3,5-tris(4-carboxylatephenyl)benzene"", ""benzene-1,3,4-tribenzoate"", ""4,4',4''-benzene-1,3,5-tribenzoate""]",438.43,"C(=O)(O)C1=CC=C(C=C1)C1=CC(=CC(=C1)C1=CC=C(C=C1)C(=O)O)C1=CC=C(C=C1)C(=O)O","C(=O)(O)C1=CC=C(C=C1)C1=CC(=CC(=C1)C1=CC=C(C=C1)C(=O)O)C1=CC=C(C=C1)C(=O)O","Yes","Chemescene",25.0,16.8904,0.99,"49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
"NESVAK","",2246.99,2238.65,0.71,0.72,1.0,4.16,5.15,54.04,"Cd","","","No",11.03,4.29,10.76,"R3c",21.52,21.52,66.23,90.0,90.0,120.0,26568.55,"554-95-0","1,3,5-Benzenetricarboxylate","[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",210.14,"C1(=CC(=CC(=C1)C(=O)O)C(=O)O)C(=O)O","OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O","Yes","AmBeed",1000.0,0.0989,0.98,"95-14-7","benzotriazolate","[""benzotriazole"", ""benzotriazolate"", ""1H-benzotriazole"", ""2,3-dihydro-1H-benzotriazole"", ""Benzotriazolate""]",119.14,"N1N=NC2=C1C=CC=C2","c1ccc2c(c1)[nH]nn2","Yes","BLD Pharm",1000.0,0.12298,0.98,"49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
"NESVEO","",2578.3,2332.63,0.69,0.76,0.9,4.58,5.56,53.25,"Zn","","","No",10.2,4.32,10.19,"I4/m",22.05,22.05,22.5,90.0,90.0,90.0,10932.17,"554-95-0","1,3,5-Benzenetricarboxylate","[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",210.14,"C1(=CC(=CC(=C1)C(=O)O)C(=O)O)C(=O)O","OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O","Yes","AmBeed",1000.0,0.0989,0.98,"95-14-7","benzotriazolate","[""benzotriazole"", ""benzotriazolate"", ""1H-benzotriazole"", ""2,3-dihydro-1H-benzotriazole"", ""Benzotriazolate""]",119.14,"N1N=NC2=C1C=CC=C2","c1ccc2c(c1)[nH]nn2","Yes","BLD Pharm",1000.0,0.12298,0.98,"49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
"FUTTIZ","",2904.54,2140.97,0.73,0.99,0.74,4.99,6.49,51.13,"Zn","","","Yes",12.86,4.31,12.86,"Pa-3",24.94,24.94,24.94,90.0,90.0,90.0,15516.5,"636-94-2","2-hydroxybenzene-1,4-dicarboxylate","[""2-Hydroxybenzene-1,4-dicarboxylate"", ""2-hydroxyterephthalate""]",182.13,"OC1=C(C=CC(=C1)C(=O)O)C(=O)O","OC(=O)c1ccc(c(c1)O)C(=O)O","Yes","BLD Pharm",100.0,14.2158,0.97,"280-57-9","1,4-diazabicyclo[2.2.2]octane","[""1,4-diazabicyclo[2.2.2]octane"", ""1,4-diazabicyclo(2.2.0)octane"", ""1,4-diazabicyclo(2.2.2)octane""]",112.2,"N12CCN(CC1)CC2","C1CN2CCN1CC2","Yes","TCI Chemicals",500.0,0.125,0.98,"49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
"OQUCOU","",3259.88,2801.31,0.7,0.81,0.86,5.43,6.38,58.52,"Cd","","","Yes",8.1,4.42,8.1,"C2",25.64,13.39,15.12,90.0,92.75,90.0,5186.13,"","","(R)-5-(1-carboxylateethoxy)isophthalate",254.19,"C(=O)(O)[C@@H](C)OC=1C=C(C=C(C(=O)O)C1)C(=O)O","C[C@H](C(=O)O)Oc1cc(cc(c1)C(=O)O)C(=O)O","No","","","","","13752-21-1","1,4-bis(imidazoleyl)benzene","[""1,4-bis(imidazolyl)benzene""]",210.23,"N1C(=NC=C1)C1=CC=C(C=C1)C=1NC=CN1","c1cnc([nH]1)c1ccc(cc1)c1ncc[nH]1","Yes","Chemazone",5.0,1546.28,0.95,"49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
"DUPJAB","FJU-12",1563.28,1740.01,0.67,0.6,1.11,3.28,4.17,48.48,"Cd","","","Yes",9.76,5.56,9.75,"Cccm",20.75,26.28,36.89,90.0,90.0,90.0,20113.26,"100-21-0","1,4-Benzenedicarboxylate","[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",166.13,"C1(=CC=C(C=C1)C(=O)O)C(=O)O","OC(=O)c1ccc(cc1)C(=O)O","Yes","AmBeed",1000.0,0.0215,0.95,"288-88-0","1,2,4-triazole","[""1,2,4-triazolate"", ""1,2,4-triazole""]",68.06,"N1N=CN=C1","c1ncn[nH]1","Yes","Carbosynth",10000.0,0.0602,"","49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
"IBUBIT","SNNU-23",2166.48,1904.31,0.7,0.8,0.88,4.05,5.3,49.16,"Zn","","","Yes",11.26,10.8,11.26,"Imma",9.48,34.8,25.01,90.0,90.0,90.0,8248.29,"100-21-0","1,4-Benzenedicarboxylate","[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",166.13,"C1(=CC=C(C=C1)C(=O)O)C(=O)O","OC(=O)c1ccc(cc1)C(=O)O","Yes","AmBeed",1000.0,0.0215,0.95,"288-88-0","1,2,4-triazole","[""1,2,4-triazolate"", ""1,2,4-triazole""]",68.06,"N1N=CN=C1","c1ncn[nH]1","Yes","Carbosynth",10000.0,0.0602,"","49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
"OKUJUB","",2604.21,1840.0,0.73,1.04,0.71,4.61,6.36,47.96,"Zn","","","Yes",12.37,9.63,12.13,"C2/c",35.84,42.75,50.81,90.0,91.53,90.0,77830.83,"","","","","","","","","","","","66-40-0","tetraethylazanium","[""Tetraethylammonium""]",130.25,"C(C)N(CC)(CC)CC","CCN(CC)(CC)CC","No","","","","","49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
"LAFFEG02","",1429.65,1457.17,0.6,0.58,1.02,3.1,3.99,42.37,"Zn","","","Yes",5.85,3.84,5.85,"R-3",31.41,31.41,15.09,90.0,90.0,120.0,12895.01,"50446-44-1","1,3,5-tris(4-Carboxyphenyl)benzene","[""1,3,5-tris(4-Carboxyphenyl)benzene"", ""1,3,5-tris(4-carboxylatephenyl)benzene"", ""benzene-1,3,4-tribenzoate"", ""4,4',4''-benzene-1,3,5-tribenzoate""]",438.43,"C(=O)(O)C1=CC=C(C=C1)C1=CC(=CC(=C1)C1=CC=C(C=C1)C(=O)O)C1=CC=C(C=C1)C(=O)O","C(=O)(O)C1=CC=C(C=C1)C1=CC(=CC(=C1)C1=CC=C(C=C1)C(=O)O)C1=CC=C(C=C1)C(=O)O","Yes","Chemescene",25.0,16.8904,0.99,"","","5-aminetetrazolido",84.06,"N[C-]1N=NN=N1","N[c-]1nnnn1","No","","","","","49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
"CAZNOI","",3276.15,2263.18,0.7,1.01,0.69,5.45,6.87,50.95,"Co","","","No",9.9,6.53,9.66,"P21",15.06,28.35,17.07,90.0,100.65,90.0,7163.26,"1359740-26-3","4-[3-(4-carboxyphenoxy)-2-[[3-(4-carboxyphenoxy)-2,2-bis[(4-carboxyphenoxy)methyl]propoxy]methyl]-2-[(4-carboxyphenoxy)methyl]propoxy]benzoate","[""4-(3-(4-carboxyphenoxy)-2-((3-(4-carboxyphenoxy)-2,2-bis((4-carboxyphenoxy)methyl)propoxy)methyl)-2-((4-carboxyphenoxy)methyl)propoxy)benzoate"", ""4-(3-(4-carboxylatephenoxy)-2-((3-(4-carboxylatephenoxy)-2,2-bis[(4-carboxylatephenoxy)methyl]propoxy)methyl)-2-[(4-carboxylatephenoxy)methyl]propoxy)benzoate""]",974.9,"C(=O)(O)C1=CC=C(OCC(COC2=CC=C(C(=O)O)C=C2)(COC2=CC=C(C=C2)C(=O)O)COCC(COC2=CC=C(C=C2)C(=O)O)(COC2=CC=C(C=C2)C(=O)O)COC2=CC=C(C=C2)C(=O)O)C=C1","C(=O)(O)C1=CC=C(OCC(COC2=CC=C(C(=O)O)C=C2)(COC2=CC=C(C=C2)C(=O)O)COCC(COC2=CC=C(C=C2)C(=O)O)(COC2=CC=C(C=C2)C(=O)O)COC2=CC=C(C=C2)C(=O)O)C=C1","Yes","BLD Pharm",1.0,114.0,"","42333-78-8","2,4,6-tris(4-Pyridyl)1,3,5-triazine","[""2,4,6-tris(4-Pyridyl)1,3,5-triazine"", ""tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4'-Pyridyl)-1,3,5-triazine"", ""2,4,6-tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-Tripyridin-4-yl-1,3,5-triazine"", ""tris(4-pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)triazine""]",312.33,"N1=CC=C(C=C1)C1=NC(=NC(=N1)C1=CC=NC=C1)C1=CC=NC=C1","n1ccc(cc1)c1nc(nc(n1)c1ccncc1)c1ccncc1","Yes","TCI Chemicals",5.0,34.72,0.97,"49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
"CAZNUO","",3236.55,2247.72,0.7,1.0,0.69,5.4,6.81,50.73,"Co","","","No",10.28,7.67,10.28,"C2",16.97,28.71,14.83,90.0,102.49,90.0,7048.87,"1359740-26-3","4-[3-(4-carboxyphenoxy)-2-[[3-(4-carboxyphenoxy)-2,2-bis[(4-carboxyphenoxy)methyl]propoxy]methyl]-2-[(4-carboxyphenoxy)methyl]propoxy]benzoate","[""4-(3-(4-carboxyphenoxy)-2-((3-(4-carboxyphenoxy)-2,2-bis((4-carboxyphenoxy)methyl)propoxy)methyl)-2-((4-carboxyphenoxy)methyl)propoxy)benzoate"", ""4-(3-(4-carboxylatephenoxy)-2-((3-(4-carboxylatephenoxy)-2,2-bis[(4-carboxylatephenoxy)methyl]propoxy)methyl)-2-[(4-carboxylatephenoxy)methyl]propoxy)benzoate""]",974.9,"C(=O)(O)C1=CC=C(OCC(COC2=CC=C(C(=O)O)C=C2)(COC2=CC=C(C=C2)C(=O)O)COCC(COC2=CC=C(C=C2)C(=O)O)(COC2=CC=C(C=C2)C(=O)O)COC2=CC=C(C=C2)C(=O)O)C=C1","C(=O)(O)C1=CC=C(OCC(COC2=CC=C(C(=O)O)C=C2)(COC2=CC=C(C=C2)C(=O)O)COCC(COC2=CC=C(C=C2)C(=O)O)(COC2=CC=C(C=C2)C(=O)O)COC2=CC=C(C=C2)C(=O)O)C=C1","Yes","BLD Pharm",1.0,114.0,"","42333-78-8","2,4,6-tris(4-Pyridyl)1,3,5-triazine","[""2,4,6-tris(4-Pyridyl)1,3,5-triazine"", ""tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4'-Pyridyl)-1,3,5-triazine"", ""2,4,6-tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-Tripyridin-4-yl-1,3,5-triazine"", ""tris(4-pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)triazine""]",312.33,"N1=CC=C(C=C1)C1=NC(=NC(=N1)C1=CC=NC=C1)C1=CC=NC=C1","n1ccc(cc1)c1nc(nc(n1)c1ccncc1)c1ccncc1","Yes","TCI Chemicals",5.0,34.72,0.97,"49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
"FEGNIQ","",1138.24,1310.71,0.53,0.46,1.15,2.72,3.37,40.14,"Zn","","","No",7.14,4.81,7.14,"C2/m",13.08,25.4,16.34,90.0,93.97,90.0,5418.89,"554-95-0","1,3,5-Benzenetricarboxylate","[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",210.14,"C1(=CC(=CC(=C1)C(=O)O)C(=O)O)C(=O)O","OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O","Yes","AmBeed",1000.0,0.0989,0.98,"","","bis(3-pyridyl)-1,1'-biphenyl-4,4'-dicarboxamide","","N1=CC(=CC=C1)C=1C(=C(C=CC1C(=O)N)C1=CC=C(C=C1)C(=O)N)C=1C=NC=CC1","NC(=O)c1ccc(c(c1c1cccnc1)c1cccnc1)c1ccc(cc1)C(=O)N","No","","","","","49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
"ODIVUU","MAC-6",1713.33,1735.08,0.63,0.62,1.01,3.47,4.37,46.28,"Zn","","","Yes",8.59,6.85,8.59,"C2/m",17.72,19.71,13.14,90.0,127.5,90.0,3640.75,"4371-28-2","biphenyl-3,3',5,5'-tetracarboxylate","[""biphenyl-3,3',5,5'-tetracarboxylate"", ""1,1'-Biphenyl-3,3',5,5'-tetracarboxylate"", ""Biphenyl-3,3',5,5'-tetracarboxylate)"", ""1,1'-biphenyl-3,3',5,5'-tetracarboxylate"", ""3,3',5,5'-Biphenyltetracarboxylate""]",330.25,"C1(=CC(=CC(=C1)C(=O)O)C(=O)O)C1=CC(=CC(=C1)C(=O)O)C(=O)O","OC(=O)c1cc(cc(c1)C(=O)O)c1cc(cc(c1)C(=O)O)C(=O)O","Yes","Chemenu",25.0,48.2632,0.95,"1455-77-2","3,5-diamino-1,2,4-triazol-1-yl","[""3,5-diamine-1,2,4-triazolate"", ""1,2,4-triazolate-3,5-diamine"", ""3,5-diamide-1,2,4-triazolate"", ""3,5-diamine-1,2,4-triazol-1-yl""]",99.12,"NC1=N[N]C(=N1)N","NC1=N[N]C(=N1)N","Yes","BLD Pharm",500.0,0.42,0.98,"49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
"QUQWOQ","",3023.92,2197.25,0.73,1.01,0.73,5.14,6.65,51.74,"Zn","","","Yes",10.06,6.5,10.06,"C2/c",28.3,20.09,15.43,90.0,92.5,90.0,8764.34,"677010-20-7","Biphenyl-3,4',5-tricarboxylate","[""Biphenyl-3,4',5-tricarboxylate"", ""biphenyl-3,4',5-tricarboxylate""]",286.24,"C1(=CC(=CC(=C1)C(=O)O)C(=O)O)C1=CC=C(C=C1)C(=O)O","OC(=O)c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O","Yes","AmBeed",25.0,53.0448,0.98,"1455-77-2","3,5-diamino-1,2,4-triazol-1-yl","[""3,5-diamine-1,2,4-triazolate"", ""1,2,4-triazolate-3,5-diamine"", ""3,5-diamide-1,2,4-triazolate"", ""3,5-diamine-1,2,4-triazol-1-yl""]",99.12,"NC1=N[N]C(=N1)N","NC1=N[N]C(=N1)N","Yes","BLD Pharm",500.0,0.42,0.98,"49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
"KUZZAI","",1249.67,1370.58,0.53,0.48,1.1,2.87,3.53,40.16,"Zn","","","Yes",6.3,3.72,6.29,"P-1",15.53,15.75,15.87,107.6,109.57,109.81,3039.05,"","","4,4'-((4,4'-bipyridine)-2,6-diyl)dibenzoate",396.4,"N1=C(C=C(C=C1C1=CC=C(C(=O)O)C=C1)C1=CC=NC=C1)C1=CC=C(C(=O)O)C=C1","OC(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)O)c1ccncc1","No","","","","","4418-61-5","2H-tetrazol-5-amine","[""5-aminetetrazolate""]",85.07,"N=1NN=NC1N","Nc1n[nH]nn1","Yes","Glentham",500.0,0.38976,"","49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
"UMEJUT","",2816.44,2438.46,0.69,0.8,0.87,4.88,5.88,54.13,"Zn","","","No",7.77,5.0,7.73,"Pnma",28.13,14.43,10.38,90.0,90.0,90.0,4212.53,"100-21-0","1,4-Benzenedicarboxylate","[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",166.13,"C1(=CC=C(C=C1)C(=O)O)C(=O)O","OC(=O)c1ccc(cc1)C(=O)O","Yes","AmBeed",1000.0,0.0215,0.95,"4418-61-5","2H-tetrazol-5-amine","[""5-aminetetrazolate""]",85.07,"N=1NN=NC1N","Nc1n[nH]nn1","Yes","Glentham",500.0,0.38976,"","49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
"UMEKAA","",2658.32,2404.59,0.69,0.76,0.9,4.68,5.63,53.97,"Zn","","","No",7.48,5.74,7.45,"Pnma",27.25,16.0,10.29,90.0,90.0,90.0,4487.87,"10312-55-7","2-aminobenzene-1,4-dicarboxylate","[""2-aminebenzene-1,4-dicarboxylate"", ""2-amineterephthalate"", ""2-amidebenzene-1,4-dicarboxylate"", ""2,5-dicarboxylateanilinium"", ""2amidebenzene-1,4-dicarboxylate"", ""2aminebenzene-1,4-dicarboxylate"", ""2-aminobenzene-1,4-dicarboxylate"", ""2-amine-1,4-benzenedicarboxylate"", ""3-amine-4-carboxybenzoate""]",181.15,"NC1=C(C(=O)O)C=CC(=C1)C(=O)O","OC(=O)c1ccc(c(c1)N)C(=O)O","Yes","BIOSYNTH",250.0,0.71,"","4418-61-5","2H-tetrazol-5-amine","[""5-aminetetrazolate""]",85.07,"N=1NN=NC1N","Nc1n[nH]nn1","Yes","Glentham",500.0,0.38976,"","49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
"UMEKII","",1268.34,1476.0,0.59,0.5,1.16,2.89,3.61,43.56,"Zn","","","No",6.3,4.37,6.15,"Pnnm",20.82,9.89,17.28,90.0,90.0,90.0,3556.91,"482-05-3","biphenyl-2,2'-dicarboxylate","[""biphenyl-2,2'-dicarboxylate""]",242.23,"C=1(C(=CC=CC1)C(=O)O)C=1C(=CC=CC1)C(=O)O","OC(=O)c1ccccc1c1ccccc1C(=O)O","Yes","AmBeed",500.0,0.7396,0.97,"4418-61-5","2H-tetrazol-5-amine","[""5-aminetetrazolate""]",85.07,"N=1NN=NC1N","Nc1n[nH]nn1","Yes","Glentham",500.0,0.38976,"","49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
"UMEKEE","",3481.13,2616.23,0.73,0.98,0.75,5.7,6.97,56.29,"Zn","","","No",8.31,6.1,8.27,"Pnma",31.93,16.0,10.33,90.0,90.0,90.0,5277.54,"1141-38-4","2,6-Naphtalenedicarboxylate","[""Naphthalene-2,6-dicarboxylate"", ""2,6-Naphtalenedicarboxylate"", ""2,6-Naphthalenedicarboxylate""]",216.19,"C1=C(C=CC2=CC(=CC=C12)C(=O)O)C(=O)O","OC(=O)c1ccc2c(c1)ccc(c2)C(=O)O","Yes","AmBeed",500.0,1.03544,0.95,"4418-61-5","2H-tetrazol-5-amine","[""5-aminetetrazolate""]",85.07,"N=1NN=NC1N","Nc1n[nH]nn1","Yes","Glentham",500.0,0.38976,"","49784-85-2","Dimethylammonium","[""dimethylammonium"", ""N,N-dimethylammonium"", ""N-methylmethanaminium""]",46.09,"C[NH2+]C","C[NH2+]C","No","","","",""
